prev_indices,next_indices,syllables,rhyme_id
4998 2491 1202 2422 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,376 1402 3589 2447 3330 3186 4516 1996 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,11,0
376 1402 3589 2447 3330 3186 4516 1996 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,4352 4625 2420 4529 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,13,1
4352 4625 2420 4529 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,5606 2133 5064 4253 2498 4751 4298 288 213 5392 4962 1424 552 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,4,2
5606 2133 5064 4253 2498 4751 4298 288 213 5392 4962 1424 552 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,113 5166 213 4097 3091 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,12,3
113 5166 213 4097 3091 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,5595 1334 2853 2810 3513 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,6,4
5595 1334 2853 2810 3513 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,508 1791 1868 1218 3349 3186 3734 5064 5355 5012 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,6,5
508 1791 1868 1218 3349 3186 3734 5064 5355 5012 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,3258 2491 3186 4551 213 4959 3349 3969 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,14,6
3258 2491 3186 4551 213 4959 3349 3969 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,4413 3330 4962 1680 4520 2375 762 5606 2834 3005 2501 1513 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,7,7
4413 3330 4962 1680 4520 2375 762 5606 2834 3005 2501 1513 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,2339 1120 5606 213 2994 413 1591 4259 279 3520 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,14,8
2339 1120 5606 213 2994 413 1591 4259 279 3520 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,776 1045 5606 2598 836 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,11,9
776 1045 5606 2598 836 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,1408 5606 2673 4974 962 2420 3186 1507 3358 5350 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,7,5
1408 5606 2673 4974 962 2420 3186 1507 3358 5350 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,3611 3182 857 1852 296 5018 4974 2107 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,9,10
3611 3182 857 1852 296 5018 4974 2107 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,5081 3162 5412 213 4901 3349 5614 507 4313 1123 3622 2994 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,10,11
5081 3162 5412 213 4901 3349 5614 507 4313 1123 3622 2994 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,5471 2001 4280 5511 4962 653 2375 197 2896 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,11,5
5471 2001 4280 5511 4962 653 2375 197 2896 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,4530 1517 213 1365 2375 197 2323 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,12,12
4530 1517 213 1365 2375 197 2323 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,2853 297 4965 2252 213 2252 4704 5360 3349 5592 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,13,13
2853 297 4965 2252 213 2252 4704 5360 3349 5592 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,2375 2310 5606 2036 5614 4633 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,8,14
2375 2310 5606 2036 5614 4633 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,297 5614 2472 2375 2598 2634 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,5,15
297 5614 2472 2375 2598 2634 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,2799 3507 91 5511 4054 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,9,16
2799 3507 91 5511 4054 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,5606 3870 178 459 2994 455 2810 4962 432 1926 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,4,17
5606 3870 178 459 2994 455 2810 4962 432 1926 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,2468 1776 1073 2994 5064 4962 5483 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,13,18
2468 1776 1073 2994 5064 4962 5483 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,4962 3358 5402 5606 3891 2994 2347 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,13,19
4962 3358 5402 5606 3891 2994 2347 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,3442 1755 5327 5333 5511 3449 5511 923 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,8,20
3442 1755 5327 5333 5511 3449 5511 923 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,178 3330 5606 2415 4397 2598 1713 5494 4351 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,13,21
178 3330 5606 2415 4397 2598 1713 5494 4351 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,4962 3352 4957 2375 2598 3378 2853 2810 2498 5383 699 744 3204 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,16,21
4962 3352 4957 2375 2598 3378 2853 2810 2498 5383 699 744 3204 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,3401 2142 90 3050 5405 762 1794 3893 1814 165 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,15,22
3401 2142 90 3050 5405 762 1794 3893 1814 165 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,3241 2759 2286 5513 3186 3571 2810 2378 2922 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,12,23
3241 2759 2286 5513 3186 3571 2810 2378 2922 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,1868 4962 5140 3330 2586 2378 3164 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,12,24
1868 4962 5140 3330 2586 2378 3164 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,3241 5187 4962 3387 888 5608 1343 297 4962 3383 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,7,25
3241 5187 4962 3387 888 5608 1343 297 4962 3383 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,3545 3276 2064 3033 811 4773 811 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,12,26
3545 3276 2064 3033 811 4773 811 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,1470 2637 3186 4912 4602 5429 5064 3267 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,12,27
1470 2637 3186 4912 4602 5429 5064 3267 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,5606 5383 1877 2375 5383 173 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,12,28
5606 5383 1877 2375 5383 173 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,1444 2420 2327 3330 2111 2916 1868 4267 2705 1902 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,4,29
1444 2420 2327 3330 2111 2916 1868 4267 2705 1902 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,2141 2977 2493 5414 5033 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,14,30
2141 2977 2493 5414 5033 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,5233 2420 3186 4084 2978 4962 3352 4959 2420 4998 2924 4865 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,4,31
5233 2420 3186 4084 2978 4962 3352 4959 2420 4998 2924 4865 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,2830 5606 258 3285 2375 1179 4857 1420 2381 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,13,32
2830 5606 258 3285 2375 1179 4857 1420 2381 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,2375 1409 1365 213 1 5513 90 1 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,11,33
3186 2943 888 2375 3080 2498 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,2375 5372 2654 2498 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,7,34
2375 5372 2654 2498 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,3255 286 1814 4377 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,5,34
3255 286 1814 4377 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,2375 2673 2190 2999 2498 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,5,35
2375 2673 2190 2999 2498 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,5287 3076 5405 2240 2498 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,5,34
5287 3076 5405 2240 2498 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,2378 1984 2190 3081 2498 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,4,34
2378 1984 2190 3081 2498 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,2357 5006 90 2988 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,5,34
2357 5006 90 2988 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,5606 4700 5510 2498 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,5,36
5606 4700 5510 2498 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,3391 1638 2420 2498 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,4,34
3391 1638 2420 2498 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,2375 3503 1814 3186 4723 5510 4962 347 2420 2498 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,5,34
2375 3503 1814 3186 4723 5510 4962 347 2420 2498 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,2393 4962 4445 3285 5614 2818 5608 3241 1958 2498 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,11,34
2393 4962 4445 3285 5614 2818 5608 3241 1958 2498 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,5187 3258 4676 2378 4520 4142 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,10,34
5187 3258 4676 2378 4520 4142 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,4520 3953 4959 4520 2940 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,9,37
4520 3953 4959 4520 2940 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,3269 1384 4704 4516 2920 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,8,38
3269 1384 4704 4516 2920 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,544 3258 1814 4028 2810 1845 213 2424 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,9,39
544 3258 1814 4028 2810 1845 213 2424 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,3499 305 213 2830 4962 4500 2258 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,8,40
3499 305 213 2830 4962 4500 2258 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,3258 2491 5569 4672 213 4187 4975 1342 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,9,41
3258 2491 5569 4672 213 4187 4975 1342 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,1438 3330 4870 5606 1425 4962 2179 2264 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,8,42
